Category,Attribute,Value
,Agent Effect,When a player's ship is destroyed during any combat: Exhaust to force that player's opponent to destroy 1 of their ships of the same type in the active system.
Commander 1 (Firmament),Commander Name,Captain Aroz
,Commander Unlock,Have a plot card in play.
,Commander Effect,You may treat planets in systems that contain your ships as if you controlled them for the purpose of scoring secret objectives.
Commander 2 (Obsidian),Commander Name,Aroz Hollow
,Commander Unlock,Have units in The Fracture
,Commander Effect,Apply +1 to the result of each of your units' combat rolls in The Fracture.
Hero 1 (Firmament),Hero Name,Sharsiss
,Hero Effect,"ACTION: Place 1 of your plot cards in play with any other player's control token on it. Then, you may place any player's control token on 1 of your in-play plot cards; one plot cannot have two of the same player's tokens. Then, purge this card."
Hero 2 (Obsidian),Hero Name,Sharsiss Hollow
,Hero Effect,"ACTION: Ready all of your planets. Then, purge this card."
Plot Card 1,Plot Name,Assail
,Plot Effect,Apply +1 to the results of each of your combat and unit ability rolls against the puppeted player.
Plot Card 2,Plot Name,Enervate
,Plot Effect,"You can perform the secondary abilities of the puppeted player's strategy cards without spending command tokens; for ""Leadership,"" you can perform the primary ability instead."
Plot Card 3,Plot Name,Extract
,Plot Effect,"When this card is revealed, gain 1 non-faction technology owned by the puppeted player. When the puppeted player gains a non-faction technology, you may spend 4 resources to gain that technology."
Plot Card 4,Plot Name,Seethe
,Plot Effect,"When this card is revealed, destroy all units on a non-home planet controlled by the puppeted player. At the start of the status phase, destroy 1 of the puppeted player's infantry in any system."
Plot Card 5,Plot Name,Siphon
,Plot Effect,"When the puppeted player gains commodities, you gain an equal number of trade goods."
